Year,ENSO_Type,Ground_Truth,Total_Stations,Anomaly_Votes,Anomaly_Ratio,Ensemble_30pct,Ensemble_35pct,Ensemble_40pct,Ensemble_45pct,Ensemble_50pct,Ensemble_55pct,Ensemble_60pct,Match_30pct,Match_35pct,Match_40pct,Match_45pct,Match_50pct,Match_55pct,Match_60pct
1950,Normal,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1951,La_Nina,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1952,La_Nina,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1953,El_Nino,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1954,El_Nino,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1955,La_Nina,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1956,La_Nina,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1957,El_Nino,1,21,10,0.47619047619047616,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1958,El_Nino,1,21,9,0.42857142857142855,1,1,1,0,0,0,0,1,1,1,0,0,0,0
1959,El_Nino,0,21,9,0.42857142857142855,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1960,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1961,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1962,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1963,El_Nino,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1964,La_Nina,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1965,El_Nino,1,21,7,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1966,El_Nino,1,21,7,0.3333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1967,Normal,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1968,El_Nino,0,21,7,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1969,El_Nino,0,21,8,0.38095238095238093,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1970,La_Nina,1,21,11,0.5238095238095238,1,1,1,1,1,0,0,1,1,1,1,1,0,0
1971,La_Nina,1,21,11,0.5238095238095238,1,1,1,1,1,0,0,1,1,1,1,1,0,0
1972,El_Nino,1,21,12,0.5714285714285714,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1973,El_Nino,1,21,10,0.47619047619047616,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1974,La_Nina,0,21,11,0.5238095238095238,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1975,La_Nina,0,21,11,0.5238095238095238,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1976,La_Nina,0,21,9,0.42857142857142855,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1977,El_Nino,0,21,9,0.42857142857142855,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1978,El_Nino,0,21,10,0.47619047619047616,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1979,El_Nino,0,21,11,0.5238095238095238,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1980,El_Nino,0,21,11,0.5238095238095238,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1981,Normal,0,21,12,0.5714285714285714,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1982,El_Nino,1,21,12,0.5714285714285714,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1983,El_Nino,1,21,11,0.5238095238095238,1,1,1,1,1,0,0,1,1,1,1,1,0,0
1984,La_Nina,0,21,12,0.5714285714285714,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1985,La_Nina,0,21,12,0.5714285714285714,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1986,El_Nino,0,21,12,0.5714285714285714,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1987,El_Nino,1,21,13,0.6190476190476191,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1988,El_Nino,1,21,13,0.6190476190476191,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1989,La_Nina,1,21,15,0.7142857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1990,Normal,0,21,16,0.7619047619047619,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1991,El_Nino,1,21,13,0.6190476190476191,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,El_Nino,1,21,14,0.6666666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1993,Normal,0,21,13,0.6190476190476191,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1994,El_Nino,0,21,15,0.7142857142857143,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1995,El_Nino,0,21,14,0.6666666666666666,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1996,La_Nina,1,21,15,0.7142857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,El_Nino,1,21,16,0.7619047619047619,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1998,El_Nino,1,21,16,0.7619047619047619,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,La_Nina,1,21,17,0.8095238095238095,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,La_Nina,1,21,18,0.8571428571428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2001,La_Nina,0,21,17,0.8095238095238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2002,El_Nino,0,21,16,0.7619047619047619,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2003,El_Nino,0,21,17,0.8095238095238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2004,El_Nino,0,21,17,0.8095238095238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2005,El_Nino,0,21,16,0.7619047619047619,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2006,La_Nina,0,21,17,0.8095238095238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2007,El_Nino,0,21,17,0.8095238095238095,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2008,La_Nina,1,21,16,0.7619047619047619,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,El_Nino,0,21,16,0.7619047619047619,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2010,La_Nina,0,21,16,0.7619047619047619,1,1,1,1,1,1,1,0,0,0,0,0,0,0
