USAF,WBAN,Name,Country,State,ICAO,LAT,LON,Elev(m),BEGIN,END,Years,ActualBegin,ActualEnd
942030,99999,BROOME INTL,AS,,YBRM,-17.945,122.232,17.1,19390810,20190415,80,1939,2019
943740,99999,ROCKHAMPTON,AS,,YBRK,-23.382,150.475,10.4,19390331,20190415,80,1939,2019
946370,99999,KALGOORLIE BOULDER,AS,,YPKG,-30.789,121.462,366.7,19390321,20190415,80,1939,2019
946530,99999,CEDUNA AMO,AS,,YPCD,-32.133,133.7,16.0,19390320,20190415,80,1939,2019
478080,99999,FUKUOKA,JA,,RJFF,33.586,130.451,9.8,19460906,20190415,73,1946,2019
479300,99999,NAHA,JA,,ROAH,26.196,127.646,3.7,19451111,20190415,72,1945,2019
479810,99999,IWOTO,JA,,RJAW,24.784,141.323,115.2,19450301,20190415,70,1945,2019
476710,99999,TOKYO INTL,JA,,RJTT,35.552,139.78,10.7,19460911,20190415,68,1946,2019
471100,99999,GIMPO,KS,,RKSS,37.558,126.791,17.7,19450930,20190415,75,1945,2019
471080,99999,SEOUL CITY,KS,,RKSL,37.567,126.967,87.0,19501204,20190415,68,1950,2019
471420,99999,DAEGU AB,KS,,RKTN,35.894,128.659,35.4,19501101,20190415,67,1950,2019
763420,99999,MONCLOVA INTL,MX,,MMMV,26.956,-101.47,568.1,19490108,20190415,58,1949,2019
764990,99999,SOTO LA MARINA   TAMPS.,MX,,,23.767,-98.2,21.0,19491101,20190415,58,1949,2019
763820,99999,TORREON INTL,MX,,MMTC,25.568,-103.411,1124.1,19490101,20190415,57,1949,2019
761600,99999,GENERAL IGNACIO P GARCIA INTL,MX,,MMHO,29.096,-111.048,191.1,19490402,20190415,52,1949,2019
847520,99999,RODRIGUEZ BALLON,PE,,SPQU,-16.341,-71.583,2561.8,19420101,20190415,56,1946,2019
843900,99999,CAPITAN MONTES,PE,,SPYL,-4.577,-81.254,86.0,19330209,20190415,52,1942,2019
722860,23119,MARCH AIR RESERVE BASE,US,CA,KRIV,33.9,-117.25,468.2,19330101,20190416,82,1933,2019
722265,13821,MAXWELL AFB AIRPORT,US,AL,KMXF,32.383,-86.35,52.1,19351001,20190416,80,1935,2019
724050,13743,RONALD REAGAN WASHINGTON NATL AP,US,VA,KDCA,38.847,-77.035,3.1,19360901,20190416,80,1936,2019
911820,22521,HONOLULU INTERNATIONAL AIRPORT,US,HI,PHNL,21.324,-157.929,2.1,19390601,20190416,80,1939,2019
