site_id,segment_id,start_idx,end_idx,start_date,end_date,length
471080-99999,0,0,791,1950-12-01,2019-04-01,792
471100-99999,0,0,858,1945-09-01,2019-04-01,859
471420-99999,0,0,775,1950-11-01,2019-04-01,776
474250-99999,0,0,676,1945-10-01,2019-04-01,677
477590-99999,0,0,688,1945-10-01,2019-04-01,689
477710-99999,0,0,741,1945-11-01,2019-04-01,742
478030-99999,0,0,775,1945-12-01,2019-04-01,776
722265-13821,0,0,927,1935-10-01,2019-04-01,928
722860-23119,0,0,975,1933-01-01,2019-04-01,976
726810-24131,0,0,74,1931-01-01,1937-03-01,75
726810-24131,1,75,673,1937-04-01,2019-04-01,599
726815-24106,0,0,804,1932-01-01,2019-03-01,805
760500-99999,0,0,127,1949-06-01,1981-04-01,128
760610-99999,0,0,318,1949-02-01,2019-04-01,319
761130-99999,0,0,438,1949-02-01,2019-04-01,439
761220-99999,0,0,459,1949-03-01,2019-04-01,460
843900-99999,0,0,284,1942-11-01,1992-02-01,285
843900-99999,1,285,389,1992-03-01,2000-12-01,105
843900-99999,2,390,564,2001-01-01,2019-04-01,175
844520-99999,0,0,635,1963-01-01,2019-04-01,636
846910-99999,0,0,638,1963-01-01,2019-04-01,639
847520-99999,0,0,134,1946-08-01,1975-08-01,135
847520-99999,1,135,314,1975-09-01,1990-08-01,180
847520-99999,2,315,494,1990-09-01,2005-08-01,180
847520-99999,3,495,646,2005-09-01,2019-04-01,152
942030-99999,0,0,379,1939-08-01,1973-01-01,380
942030-99999,1,380,779,1973-02-01,2006-09-01,400
942030-99999,2,780,930,2006-10-01,2019-04-01,151
943350-99999,0,0,688,1939-07-01,2019-04-01,689
943740-99999,0,0,911,1939-08-01,2019-04-01,912
944760-99999,0,0,534,1939-03-01,1985-06-01,535
944760-99999,1,535,802,1997-01-01,2019-04-01,268
